822.715405270,-0.000204762,-0.000188235
822.724396539,-0.000204218,-0.000186824
822.733387808,-0.000203674,-0.000185413
822.742379077,-0.000203130,-0.000184003
822.751370346,-0.000202586,-0.000182592
822.760361615,-0.000202043,-0.000181181
822.769352884,-0.000201499,-0.000179771
822.778344153,-0.000200955,-0.000178360
822.787335422,-0.000200411,-0.000176950
822.796326691,-0.000199867,-0.000175539
822.805317960,-0.000199323,-0.000174129
822.814309229,-0.000198778,-0.000172719
822.823300498,-0.000198234,-0.000171309
822.832291767,-0.000197690,-0.000169899
822.841283036,-0.000197146,-0.000168489
822.850274305,-0.000196602,-0.000167079
822.859265574,-0.000196057,-0.000165669
822.868256843,-0.000195513,-0.000164259
822.877248112,-0.000194969,-0.000162849
822.886239381,-0.000194424,-0.000161440
822.895230650,-0.000193880,-0.000160030
822.904221919,-0.000193335,-0.000158621
822.913213188,-0.000192791,-0.000157211
822.922204457,-0.000192246,-0.000155802
822.931195726,-0.000191702,-0.000154393
822.940186995,-0.000191157,-0.000152983
822.949178264,-0.000190612,-0.000151574
822.958169533,-0.000190068,-0.000150165
822.967160802,-0.000189523,-0.000148756
822.976152071,-0.000188978,-0.000147347
822.985143340,-0.000188433,-0.000145938
822.994134609,-0.000187889,-0.000144530
823.003125878,-0.000187344,-0.000143121
823.012117147,-0.000186799,-0.000141712
823.021108416,-0.000186254,-0.000140304
823.030099685,-0.000185709,-0.000138895
823.039090954,-0.000185164,-0.000137487
823.048082223,-0.000184619,-0.000136078
823.057073492,-0.000184074,-0.000134670
823.066064761,-0.000183529,-0.000133262
823.075056030,-0.000182984,-0.000131854
823.084047299,-0.000182438,-0.000130446
823.093038568,-0.000181893,-0.000129038
823.102029837,-0.000181348,-0.000127630
823.111021106,-0.000180803,-0.000126222
823.120012375,-0.000180257,-0.000124814
823.129003644,-0.000179712,-0.000123406
823.137994913,-0.000179166,-0.000121999
823.146986182,-0.000178621,-0.000120591
823.155977451,-0.000178076,-0.000119184
823.164968720,-0.000177530,-0.000117776
823.173959989,-0.000176985,-0.000116369
823.182951258,-0.000176439,-0.000114961
823.191942527,-0.000175893,-0.000113554
823.200933796,-0.000175348,-0.000112147
823.209925065,-0.000174802,-0.000110740
823.218916334,-0.000174256,-0.000109333
823.227907603,-0.000173711,-0.000107926
823.236898872,-0.000173165,-0.000106519
823.245890141,-0.000172619,-0.000105112
823.254881410,-0.000172073,-0.000103706
823.263872679,-0.000171527,-0.000102299
823.272863948,-0.000170981,-0.000100892
823.281855217,-0.000170435,-0.000099486
823.290846486,-0.000169889,-0.000098079
823.299837755,-0.000169343,-0.000096673
823.308829024,-0.000168797,-0.000095267
823.317820293,-0.000168251,-0.000093860
823.326811562,-0.000167705,-0.000092454
823.335802831,-0.000167159,-0.000091048
823.344794100,-0.000166613,-0.000089642
823.353785369,-0.000166066,-0.000088236
823.362776638,-0.000165520,-0.000086830
823.371767907,-0.000164974,-0.000085425
823.380759176,-0.000164427,-0.000084019
823.389750445,-0.000163881,-0.000082613
823.398741714,-0.000163335,-0.000081208
823.407732983,-0.000162788,-0.000079802
823.416724252,-0.000162242,-0.000078397
823.425715521,-0.000161695,-0.000076991
823.434706790,-0.000161149,-0.000075586
823.443698059,-0.000160602,-0.000074181
823.452689328,-0.000160055,-0.000072775
823.461680597,-0.000159509,-0.000071370
823.470671866,-0.000158962,-0.000069965
823.479663135,-0.000158415,-0.000068560
823.488654404,-0.000157868,-0.000067155
823.497645673,-0.000157322,-0.000065751
823.506636942,-0.000156775,-0.000064346
823.515628211,-0.000156228,-0.000062941
823.524619480,-0.000155681,-0.000061537
823.533610749,-0.000155134,-0.000060132
823.542602018,-0.000154587,-0.000058728
823.551593287,-0.000154040,-0.000057323
823.560584556,-0.000153493,-0.000055919
823.569575825,-0.000152946,-0.000054515
823.578567094,-0.000152399,-0.000053110
823.587558363,-0.000151852,-0.000051706
823.596549632,-0.000151304,-0.000050302
823.605540901,-0.000150757,-0.000048898
823.614532170,-0.000150210,-0.000047494
823.623523439,-0.000149615,-0.000046186
823.632514708,-0.000148732,-0.000045980
823.641505977,-0.000147908,-0.000045894
823.650497246,-0.000147084,-0.000045808
823.659488515,-0.000146261,-0.000045722
823.668479784,-0.000145437,-0.000045636
823.677471053,-0.000144613,-0.000045550
823.686462322,-0.000143789,-0.000045465
823.695453591,-0.000142965,-0.000045379
823.704444860,-0.000142142,-0.000045293
823.713436129,-0.000141318,-0.000045208
823.722427398,-0.000140494,-0.000045122
823.731418667,-0.000139670,-0.000045037
823.740409936,-0.000138846,-0.000044952
823.749401205,-0.000138022,-0.000044866
823.758392474,-0.000137198,-0.000044781
823.767383743,-0.000136373,-0.000044696
823.776375012,-0.000135549,-0.000044611
823.785366281,-0.000134725,-0.000044526
823.794357550,-0.000133901,-0.000044441
823.803348819,-0.000133077,-0.000044356
823.812340088,-0.000132253,-0.000044271
823.821331357,-0.000131428,-0.000044186
823.830322626,-0.000130604,-0.000044101
823.839313895,-0.000129780,-0.000044017
823.848305164,-0.000128955,-0.000043932
823.857296433,-0.000128131,-0.000043848
823.866287702,-0.000127306,-0.000043763
823.875278971,-0.000126482,-0.000043679
823.884270240,-0.000125657,-0.000043595
823.893261509,-0.000124833,-0.000043510
823.902252778,-0.000124008,-0.000043426
823.911244047,-0.000123183,-0.000043342
823.920235316,-0.000122359,-0.000043258
823.929226585,-0.000121534,-0.000043174
823.938217854,-0.000120709,-0.000043090
823.947209123,-0.000119885,-0.000043006
823.956200392,-0.000119060,-0.000042922
823.965191661,-0.000118235,-0.000042839
